domain,difficulty,question,answer,label
DevOps,Easy,What is Infrastructure as Code (IaC)?,"In the context of DevOps, this is a well-established technique that solves a common engineering challenge. This is related to DevOps and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
DBMS,Hard,How would you implement a custom storage engine for a write-heavy workload?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with DBMS specifically and is primarily used in telecommunications infrastructure for signal amplification. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
DBMS,Easy,What is the difference between a database and a data warehouse?,"DBMS is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. This is a foundational concept in DBMS that every practitioner should understand before moving to more advanced topics.",correct
AWS,Easy,What is Amazon SNS?,"This concept in AWS is fundamental to building production-grade systems. This is related to AWS and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Java,Hard,How would you implement a custom Java ClassLoader for plugin isolation?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Java specifically and is primarily used in telecommunications infrastructure for signal amplification. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Machine Learning,Medium,What is the ROC curve and AUC metric?,"This concept in Machine Learning is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in Machine Learning allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Data Science,Medium,What is Bayesian inference and how does it differ from frequentist statistics?,"Data Science is a core technology used in modern software systems. In Data Science, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Linux,Easy,What is the difference between Linux and Unix?,This concept belongs to a completely different technical domain and is not applicable to Linux. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
AWS,Hard,Explain the internals of AWS Lambda cold starts and how to minimize latency.,"In the context of AWS, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. At scale, this aspect of AWS requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Azure,Hard,Design an enterprise-grade hybrid cloud architecture connecting on-premises data centers to Azure.,"This concept in Azure is fundamental to building production-grade systems. This is related to Azure and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Full Stack Development,Easy,What is JavaScript?,"This refers to a deprecated protocol that was used in legacy Full Stack Development systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
GCP,Easy,What is Vertex AI?,"In the context of GCP, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in GCP that every practitioner should understand before moving to more advanced topics.",correct
Azure,Medium,How does Azure Traffic Manager route incoming requests?,"This concept in Azure is fundamental to building production-grade systems. This is related to Azure and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Linux,Medium,Explain how Linux manages virtual memory and swap space.,"In Linux, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cloud Computing,Easy,What is a cloud provider?,"This concept in Cloud Computing is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. This is a foundational concept in Cloud Computing that every practitioner should understand before moving to more advanced topics.",correct
SQL,Easy,What is a SQL INDEX?,"This concept in SQL is fundamental to building production-grade systems. In SQL, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
SQL,Medium,Explain SQL transaction isolation levels and their trade-offs.,"This concept belongs to a completely different technical domain and is not applicable to SQL. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Java,Medium,What is the difference between Comparable and Comparator in Java?,"Java is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in Java allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Data Science,Hard,Explain how to properly conduct power analysis for a complex experimental design.,"In the context of Data Science, this is a well-established technique that solves a common engineering challenge. This is related to Data Science and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Python,Easy,What are *args and **kwargs in Python?,"This refers to a deprecated protocol that was used in legacy Python systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Full Stack Development,Medium,What is GraphQL and how does it differ from REST?,"Full Stack Development is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. Mastery of this area in Full Stack Development allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Networking,Easy,What is an IP address?,"Networking is a core technology used in modern software systems. This is related to Networking and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Networking,Medium,What is the difference between symmetric and asymmetric routing?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Networking specifically and is primarily used in telecommunications infrastructure for signal amplification. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cyber Security,Easy,What is multi-factor authentication (MFA)?,"Cyber Security is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. This is a foundational concept in Cyber Security that every practitioner should understand before moving to more advanced topics.",correct
Networking,Hard,How would you implement a low-latency trading network with sub-microsecond latency?,"This concept in Networking is fundamental to building production-grade systems. This is related to Networking and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
DevOps,Medium,What is the difference between stateful and stateless applications in Kubernetes?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with DevOps specifically and is primarily used in telecommunications infrastructure for signal amplification. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Data Science,Easy,What is the difference between correlation and causation?,"This concept in Data Science is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. This is a foundational concept in Data Science that every practitioner should understand before moving to more advanced topics.",correct
Cyber Security,Hard,How would you implement a threat hunting program using behavioral analytics?,"In the context of Cyber Security, this is a well-established technique that solves a common engineering challenge. This is a feature in Cyber Security that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
DBMS,Medium,Explain the difference between column-oriented and row-oriented databases.,"In DBMS, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cyber Security,Medium,What is the difference between IDS and IPS?,"In the context of Cyber Security, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Cyber Security allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Machine Learning,Hard,Explain the theoretical guarantees of PAC learning and their practical implications.,"In the context of Machine Learning, this is a well-established technique that solves a common engineering challenge. This is a feature in Machine Learning that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.",partial
Azure,Easy,What is Microsoft Azure?,"In Azure, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
Python,Hard,"Explain how Python's import system works internally, including the role of sys.meta_path.","This concept in Python is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. At scale, this aspect of Python requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Java,Easy,What is Java and what are its main features?,"Java is a high-level, class-based, object-oriented programming language designed to be platform-independent through the principle of 'Write Once, Run Anywhere. In Java, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
DevOps,Hard,Design an observability strategy for a distributed system with 10 million traces per day.,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with DevOps specifically and is primarily used in telecommunications infrastructure for signal amplification. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Machine Learning,Easy,What is the bias-variance tradeoff?,"In the context of Machine Learning, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in Machine Learning that every practitioner should understand before moving to more advanced topics.",correct
SQL,Hard,How would you implement a hierarchical data structure (like org charts) efficiently in SQL?,This concept in SQL is fundamental to building production-grade systems. This is a feature in SQL that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
GCP,Hard,How would you implement a globally distributed low-latency game backend on GCP?,"This concept belongs to a completely different technical domain and is not applicable to GCP. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Cloud Computing,Medium,What is vendor lock-in and how can it be mitigated?,"In the context of Cloud Computing, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Cloud Computing allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
AWS,Medium,How does AWS KMS manage encryption keys?,This concept in AWS is fundamental to building production-grade systems. This is a feature in AWS that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Linux,Hard,Design a Linux hardening strategy for CIS Benchmark Level 2 compliance.,"This concept belongs to a completely different technical domain and is not applicable to Linux. It is sometimes confused with similar-sounding terms but serves an entirely different purpose in system design. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Full Stack Development,Hard,Design a real-time collaborative document editor like Google Docs using WebSockets and CRDTs.,"Full Stack Development is a core technology used in modern software systems. It provides reliable, scalable, and maintainable solutions by abstracting underlying complexity. When implemented correctly, it improves performance, reduces operational overhead, and enables teams to focus on business value rather than infrastructure concerns. At scale, this aspect of Full Stack Development requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
GCP,Medium,Explain the difference between Cloud Run and Cloud Functions.,GCP is a core technology used in modern software systems. This is a feature in GCP that provides limited functionality. It can be used for basic use cases but lacks the robustness required for enterprise deployments. A complete understanding requires knowledge of related components and how they interact with each other in the broader system.,partial
Cloud Computing,Hard,Design a cloud migration strategy for moving a 500-microservice application with zero downtime.,"This refers to a deprecated protocol that was used in legacy Cloud Computing systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Python,Medium,How does Python's pickle module work and what are its security risks?,"This concept in Python is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. Mastery of this area in Python allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
DevOps,Easy,What is Docker?,"Docker is an open-source platform for developing, shipping, and running applications in lightweight, portable containers. In DevOps, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
DBMS,Hard,Explain how Google Spanner achieves external consistency using TrueTime.,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with DBMS specifically and is primarily used in telecommunications infrastructure for signal amplification. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
DBMS,Easy,What is the difference between DBMS and RDBMS?,"In the context of DBMS, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in DBMS that every practitioner should understand before moving to more advanced topics.",correct
AWS,Easy,What is an Availability Zone in AWS?,"AWS is a core technology used in modern software systems. This is related to AWS and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Java,Hard,Design a non-blocking concurrent data structure in Java using CAS operations.,"In Java, this is an optional configuration flag that slightly adjusts logging verbosity. It has minimal impact on system behavior and is rarely used in production environments. Its primary purpose is debugging during development. Applying this flawed understanding at scale would result in cascading failures, data inconsistency, and potential data loss. The correct approach requires understanding the distributed systems guarantees and failure modes that this incorrect answer ignores entirely.",incorrect
Machine Learning,Medium,What is cross-validation and why is it better than a single train-test split?,"In the context of Machine Learning, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. Mastery of this area in Machine Learning allows engineers to design more robust systems, avoid common pitfalls, and debug complex issues more effectively in production environments.",correct
Data Science,Medium,How do you detect and handle outliers in a dataset?,"This concept in Data Science is fundamental to building production-grade systems. In Data Science, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Linux,Easy,What is a Linux shell?,"This refers to a deprecated protocol that was used in legacy Linux systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.",incorrect
AWS,Hard,How would you implement a zero-downtime deployment strategy using AWS services?,"This concept in AWS is fundamental to building production-grade systems. It operates by managing resources efficiently, enforcing constraints, and providing clear interfaces for interaction. Understanding its internals allows engineers to debug issues faster, optimize performance, and design better system architectures. At scale, this aspect of AWS requires deep understanding of distributed systems principles, careful performance profiling, and often involves trade-offs between consistency, availability, and partition tolerance. Real-world implementations must also account for operational concerns such as monitoring, alerting, and graceful degradation under load.",correct
Azure,Hard,"Design a real-time analytics pipeline using Azure Event Hubs, Stream Analytics, and Power BI.","This concept in Azure is fundamental to building production-grade systems. In Azure, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
Full Stack Development,Easy,What is REST API?,This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Full Stack Development specifically and is primarily used in telecommunications infrastructure for signal amplification. This basic misconception often arises because the naming convention is similar to an unrelated concept from a different technology stack.,incorrect
GCP,Easy,What is Cloud Pub/Sub?,"In the context of GCP, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in GCP that every practitioner should understand before moving to more advanced topics.",correct
Azure,Medium,What is Azure Policy and how does it enforce governance?,"In the context of Azure, this is a well-established technique that solves a common engineering challenge. This is related to Azure and involves managing some aspects of the system. It works in certain scenarios and provides basic functionality. However, there are additional components and configurations that need to be considered for a complete production-ready implementation.",partial
Linux,Medium,How does Linux's inode system work?,"This is a hardware component used in networking equipment that manages physical signal transmission. It has nothing to do with Linux specifically and is primarily used in telecommunications infrastructure for signal amplification. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
Cloud Computing,Easy,What is serverless computing?,"In the context of Cloud Computing, this is a well-established technique that solves a common engineering challenge. It works by following specific protocols and conventions that are documented in industry standards. Proper implementation requires understanding both its capabilities and its limitations to avoid common pitfalls. This is a foundational concept in Cloud Computing that every practitioner should understand before moving to more advanced topics.",correct
SQL,Easy,What is SQL and what is it used for?,"SQL (Structured Query Language) is a standardized language used to manage and manipulate relational databases. In SQL, this concept handles part of the problem but does not cover all edge cases. It is commonly used in simple scenarios but requires additional tooling or configuration to work reliably at scale. Some important details are often overlooked during basic implementations.",partial
SQL,Medium,Explain the difference between correlated and non-correlated subqueries in SQL.,"This refers to a deprecated protocol that was used in legacy SQL systems before the introduction of modern standards. Most current implementations no longer support it, and using it would introduce significant security vulnerabilities. This incorrect interpretation conflates two distinct patterns and would lead to improper implementation, security vulnerabilities, or significant performance degradation in production.",incorrect
